state_code,population,PR,at_risk,incidence_cases,AC,AC_5,AC_95,IR,reliability_pr,reliability_ir,reliability,SAF,SAF_5,SAF_95,year
1.0,1130433.0,0.1140398388149028,1001518.6028889528,10627.167568785224,4440.390587267113,2159.7010687898483,5985.327557775433,0.0106110535921453,1.0,0.0,0,0.4178338732805629,0.2032245238264103,0.5632100481181749,2010
2.0,187995.0,0.0905798542386211,170966.44030241042,1814.1340605071969,525.1009370656336,258.29113804533324,697.0598564575864,0.0106110535921453,0.0,0.0,0,0.2894499080838742,0.1423770953140695,0.384238338076681,2010
4.0,1626330.0,0.0937647746152985,1473837.534099901,15638.969060449415,10285.738555802409,5642.015414715302,12636.99065122567,0.0106110535921453,1.0,0.0,0,0.6576992713550919,0.3607664541637738,0.8080449933994895,2010
5.0,711624.0,0.0905798542386211,647165.2018072954,6867.104639348778,2515.3581108953954,1170.6829855834446,3501.9072089607776,0.0106110535921453,0.0,0.0,0,0.3662909250693946,0.1704769400010865,0.5099539606393519,2010
6.0,9280492.0,0.0905798542386211,8439866.38737731,89555.87454700687,52258.82994759243,27297.09326531481,66376.00411352234,0.0106110535921453,0.0,0.0,0,0.5835332434854662,0.3048051666447283,0.7411686218158958,2010
8.0,1227213.0,0.0905798542386211,1116052.225340259,11842.489974718575,5848.743495727999,2912.26948298036,7708.735131108417,0.0106110535921453,0.0,0.0,0,0.4938778507065604,0.2459169895180398,0.650938708630117,2010
9.0,814365.0,0.1122878929298243,722921.6700742036,6237.196021015316,2531.755614539388,1206.775180889827,3455.763848300105,0.0086277618713174,1.0,1.0,1,0.4059124654747115,0.1934803999784158,0.5540572777665503,2010
10.0,205519.0,0.0905798542386211,186903.1189367328,1983.2390115767896,694.2302370954841,318.2355573979463,978.0101157549036,0.0106110535921453,0.0,0.0,0,0.3500486996489298,0.1604625340366468,0.4931377963250778,2010
11.0,101265.0,0.1740239359191539,83642.46612914688,887.5346906755804,573.5899102701433,305.4292229936274,715.2449785845135,0.0106110535921453,1.0,0.0,0,0.6462732288622248,0.3441321519062409,0.8058783347838246,2010
12.0,3997512.0,0.0905798542386211,3635417.9457228607,38575.61465191226,16203.068054241809,7758.535325797224,22030.336743823515,0.0106110535921453,0.0,0.0,0,0.4200339566964902,0.2011253844120567,0.5710948987492396,2010
13.0,2489665.0,0.0898727978319705,2265911.840785667,25227.066894186464,9573.43565241879,4508.167158694891,13210.92211506527,0.0111332958503096,1.0,1.0,1,0.3794906356959386,0.1787035796751223,0.5236804647356648,2010
15.0,303872.0,0.1102654486308094,270365.41759365867,5070.108504264887,1557.8193203136475,743.4955724422981,2119.285050805238,0.0187527996346223,1.0,1.0,1,0.3072556177058612,0.1466429311753156,0.4179959953564174,2010
16.0,429231.0,0.0905798542386211,390351.3185853024,4142.03876127325,1738.8537217181442,836.372620347167,2357.149607910204,0.0106110535921453,0.0,0.0,0,0.4198062408241746,0.2019229342243211,0.5690795629313771,2010
17.0,3123233.0,0.0974834623202814,2818769.4335270403,25363.128235457807,13210.13977756182,6670.315794456464,17222.575976989123,0.008997943547203,1.0,1.0,1,0.5208403180761418,0.2629926297944321,0.6790398966998029,2010
18.0,1606162.0,0.0888350341234916,1463478.5439221445,17826.80334538638,8448.575372858257,4166.5329620855855,11229.980125625194,0.0121811169828361,1.0,1.0,1,0.4739254261782592,0.233722944117398,0.6299491786636857,2010
19.0,728224.0,0.062258773367947,682885.6670229002,7246.136410087924,3713.238870614904,1868.8091764567823,4859.683346493576,0.0106110535921453,1.0,0.0,0,0.5124439646823937,0.2579042224288055,0.6706585511870883,2010
20.0,727489.0,0.0752831367273466,672721.3461453593,4827.972801177758,2315.1625708034103,1142.5743063554853,3075.16792213999,0.0071767795519521,1.0,1.0,1,0.4795309887078566,0.2366571547538048,0.6369480626298929,2010
21.0,1023533.0,0.1061612593508542,914873.4477328422,9707.771183923982,3867.272378429073,1842.3691061630416,5289.070450770863,0.0106110535921453,1.0,0.0,0,0.3983687197771261,0.1897829142505949,0.5448285039442974,2010
22.0,1117831.0,0.0828838377778719,1025180.8767329236,5485.891103073971,2286.2167101196087,1101.864342142609,3097.806917487076,0.0053511445907541,1.0,1.0,1,0.4167448217917682,0.2008542133702196,0.5646861848481183,2010
23.0,273399.0,0.0905798542386211,248634.5584310152,2638.2746243708984,945.9390801870386,446.7135302210384,1302.7797240093464,0.0106110535921453,0.0,0.0,0,0.3585445849529783,0.169320330072749,0.4937998917834403,2010
24.0,1352627.0,0.1182520065132316,1192676.1431860272,10272.05709992808,3802.161312484511,1770.0081935576106,5291.137194424185,0.0086126121987214,1.0,1.0,1,0.3701460452854308,0.1723129239195918,0.5151000566830212,2010
25.0,1417502.0,0.0905798542386211,1289104.875457046,13678.760919370585,4695.227260256481,2168.6546200429334,6580.240034091767,0.0106110535921453,0.0,0.0,0,0.3432494571644672,0.1585417445941238,0.4810552704940873,2010
26.0,2334175.0,0.1117048277958644,2073436.383579588,33146.48352133375,12642.430338682594,5983.442272849031,17389.468113241222,0.0159862553699909,1.0,1.0,1,0.38141090684765,0.1805151448116047,0.5246248248942911,2010
27.0,1283281.0,0.0905798542386211,1167041.594072808,12383.540898969311,5779.964723251075,2842.951054465161,7699.267645134121,0.0106110535921453,0.0,0.0,0,0.4667457208246587,0.229574971945365,0.6217339376474248,2010
28.0,753561.0,0.0869529762632587,688036.6282540825,11415.945743718386,3699.407775531799,1688.6284835823071,5236.181167447062,0.0165920610544917,1.0,1.0,1,0.3240561805899782,0.1479184047902008,0.4586725694915172,2010
29.0,1423978.0,0.1091021963542739,1268618.8726398335,13461.3828455883,6072.265855333193,2983.664336323872,8112.297406729311,0.0106110535921453,1.0,0.0,0,0.4510878209903418,0.2216461986519986,0.6026347738403379,2010
