,ev_sales,nonev_sales,AC
count,311.0,311.0,311.0
mean,1722.8263665594855,279406.6495176849,1223.390290651646
std,1958.8428040668546,284396.91426255077,1415.4686279584828
min,54.0,17752.0,14.779861801947158
25%,285.5,85489.0,260.77911540735477
50%,933.0,209221.0,710.5532915700525
75%,2314.0,346325.5,1577.5638282738414
max,9007.0,1457614.0,6382.995546059537
