state_code,population,PR,at_risk,incidence_cases,AC,AC_5,AC_95,IR,reliability_pr,reliability_ir,reliability,SAF,SAF_5,SAF_95,year
1.0,1130433.0,0.1140398388149028,1001518.6028889528,10627.167568785224,3675.500899942458,1431.2656483424896,5307.679841871509,0.0106110535921453,1.0,0.0,0,0.3458589390025586,0.1346798795707797,0.4994444481577156,2010
2.0,187995.0,0.0905798542386211,170966.44030241042,1814.1340605071969,434.3213679476472,172.12118541128714,621.3071845359901,0.0106110535921453,0.0,0.0,0,0.239409742313211,0.0948778754328472,0.3424814064525555,2010
4.0,1626330.0,0.0937647746152985,1473837.534099901,15638.969060449415,4498.819937054461,1705.7485624444616,6646.941557913614,0.0106110535921453,1.0,0.0,0,0.2876672956935422,0.109070396894528,0.4250242795558419,2010
5.0,711624.0,0.0905798542386211,647165.2018072954,6867.104639348778,2218.9210928287025,854.1786722568528,3236.430248429693,0.0106110535921453,0.0,0.0,0,0.3231232388850168,0.1243870185641814,0.4712947331375761,2010
6.0,9280492.0,0.0905798542386211,8439866.38737731,89555.87454700687,34371.76837736382,13607.120621347549,48944.23924137594,0.0106110535921453,0.0,0.0,0,0.3838024981747285,0.1519400116427351,0.5465218165636433,2010
8.0,1227213.0,0.0905798542386211,1116052.225340259,11842.489974718575,2888.5206887604822,1072.9451162790965,4347.168232019205,0.0106110535921453,0.0,0.0,0,0.2439116009324825,0.090601310921067,0.3670822809476358,2010
9.0,814365.0,0.1122878929298243,722921.6700742036,6237.196021015316,2236.3849437418626,871.2680982744181,3224.909093801397,0.0086277618713174,1.0,1.0,1,0.3585561422483263,0.1396890678662027,0.5170446917069047,2010
10.0,205519.0,0.0905798542386211,186903.1189367328,1983.2390115767896,838.5054536658895,335.3359832089548,1181.7324157586118,0.0106110535921453,0.0,0.0,0,0.4227959659785177,0.1690850075313632,0.5958598075473849,2010
11.0,101265.0,0.1740239359191539,83642.46612914688,887.5346906755804,377.0286763749234,150.76384272041213,531.3021801697632,0.0106110535921453,1.0,0.0,0,0.4248044390106418,0.1698681125417785,0.5986269446722614,2010
12.0,3997512.0,0.0905798542386211,3635417.9457228607,38575.61465191226,10361.909336199644,3870.088733513801,15510.840453878049,0.0106110535921453,0.0,0.0,0,0.2686129418727482,0.1003247457865704,0.4020892627075522,2010
13.0,2489665.0,0.0898727978319705,2265911.840785667,25227.066894186464,8953.050207060905,3500.771164331527,12882.971478194142,0.0111332958503096,1.0,1.0,1,0.3548985795540155,0.1387704396636881,0.5106805136019599,2010
15.0,303872.0,0.1102654486308094,270365.41759365867,5070.108504264887,1389.824165636499,526.2235752978846,2057.3654809002865,0.0187527996346223,1.0,1.0,1,0.2741211878340282,0.1037894109870103,0.4057833238025708,2010
16.0,429231.0,0.0905798542386211,390351.3185853024,4142.03876127325,1082.2013861767591,416.2320259871669,1584.6412325117117,0.0106110535921453,0.0,0.0,0,0.2612726361459963,0.1004896501401204,0.3825751818953519,2010
17.0,3123233.0,0.0974834623202814,2818769.4335270403,25363.128235457807,10558.473227795954,4233.471071072612,14858.88325092975,0.008997943547203,1.0,1.0,1,0.416292230586728,0.1669143897302933,0.5858458433434461,2010
18.0,1606162.0,0.0888350341234916,1463478.5439221445,17826.80334538638,7436.85121436258,3019.575565557927,10378.534774018515,0.0121811169828361,1.0,1.0,1,0.4171724492763452,0.1693840172606941,0.5821870905814701,2010
19.0,728224.0,0.062258773367947,682885.6670229002,7246.136410087924,2488.898023832009,976.1466107971715,3576.8194313796635,0.0106110535921453,1.0,0.0,0,0.3434793223554301,0.1347127014388247,0.4936174574908759,2010
20.0,727489.0,0.0752831367273466,672721.3461453593,4827.972801177758,1432.2547661308915,544.9006209106667,2110.3222948436724,0.0071767795519521,1.0,1.0,1,0.2966575880008066,0.1128632333590904,0.4371031863163915,2010
21.0,1023533.0,0.1061612593508542,914873.4477328422,9707.771183923982,3247.8189056591427,1253.9898050948527,4723.728947548479,0.0106110535921453,1.0,0.0,0,0.3345586586380933,0.129173811510046,0.4865925306697534,2010
22.0,1117831.0,0.0828838377778719,1025180.8767329236,5485.891103073971,1642.5294942389396,623.6377518414257,2423.8317650250624,0.0053511445907541,1.0,1.0,1,0.299409788378512,0.1136803009983147,0.4418300909522045,2010
23.0,273399.0,0.0905798542386211,248634.5584310152,2638.2746243708984,384.6911549392984,136.4632781344078,603.7674621252843,0.0106110535921453,0.0,0.0,0,0.1458116419669649,0.0517244402359923,0.2288493610740973,2010
24.0,1352627.0,0.1182520065132316,1192676.1431860272,10272.05709992808,3894.577285643118,1539.6094028620446,5549.370984483118,0.0086126121987214,1.0,1.0,1,0.3791428773960364,0.149883259787645,0.5402394993035983,2010
25.0,1417502.0,0.0905798542386211,1289104.875457046,13678.760919370585,4328.197002406863,1653.694685286719,6349.735425621709,0.0106110535921453,0.0,0.0,0,0.3164173296045898,0.1208950646213072,0.4642039920903805,2010
26.0,2334175.0,0.1117048277958644,2073436.383579588,33146.48352133375,12154.58378929918,4802.275257115234,17336.021553921844,0.0159862553699909,1.0,1.0,1,0.3666930092743093,0.1448803838882152,0.5230123896178618,2010
27.0,1283281.0,0.0905798542386211,1167041.594072808,12383.540898969311,3674.233339593157,1401.184702941294,5403.76099129291,0.0106110535921453,0.0,0.0,0,0.2967029680419568,0.1131489542750987,0.436366386268621,2010
28.0,753561.0,0.0869529762632587,688036.6282540825,11415.945743718386,3371.425253272158,1281.4604787062406,4972.493903094308,0.0165920610544917,1.0,1.0,1,0.2953259702663953,0.1122518017757191,0.4355744162353275,2010
