"","effect","term","estimate","std.error","df","statistic","p.value"
"1","fixed","(Intercept)",1795.12427440022,288.91879492859,258,6.21324851795781,2.07001562244349e-09
"2","fixed","ev_sales",-0.109634892129241,0.0418445599626267,258,-2.62005126179271,0.00931274919166525
"3","fixed","nonev_sales",0.00514515827117565,0.00050089452857001,258,10.2719394557262,5.6523939631327e-21
"4","fixed","year_fixed",-216.412368001438,27.2074212759233,258,-7.95416683583121,5.68706378991212e-14
