"","effect","group","term","estimate","std.error","df","statistic","p.value"
"1","fixed",NA,"(Intercept)",1820.94607271692,502.491421260854,54,3.62383514557879,0.000642600729885005
"2","fixed",NA,"ev_sales",0.221081276831775,0.0240101377938946,54,9.20783040603759,1.16785730081578e-12
"3","fixed",NA,"nonev_sales",-0.000371735501506737,0.000734667705065025,54,-0.505991346759738,0.614922222632038
"4","fixed",NA,"year_fixed",-289.787430073275,61.8111914078699,54,-4.68826798954694,1.91194516734305e-05
"5","ran_pars","EPA_Region","sd_(Intercept)",331.28504136352,NA,NA,NA,NA
"6","ran_pars","Residual","sd_Observation",917.093724498308,NA,NA,NA,NA
