"","effect","group","term","estimate","std.error","df","statistic","p.value"
"1","fixed",NA,"(Intercept)",5425.04712140265,1454.25135798192,54,3.73047416571166,0.000460309190900442
"2","fixed",NA,"ev_sales",0.616450417643939,0.0702037019050068,54,8.78088193238105,5.5301409022441e-12
"3","fixed",NA,"nonev_sales",-0.0010049768086315,0.00215767123826941,54,-0.465769200982422,0.643253939563697
"4","fixed",NA,"year_fixed",-841.072888356997,174.872512132058,54,-4.80963461954414,1.25279004184441e-05
"5","ran_pars","EPA_Region","sd_(Intercept)",1058.50157177463,NA,NA,NA,NA
"6","ran_pars","Residual","sd_Observation",2580.30593156427,NA,NA,NA,NA
