state_code,population,PR,at_risk,incidence_cases,AC,AC_5,AC_95,IR,reliability_pr,reliability_ir,reliability,SAF,SAF_5,SAF_95,year
1.0,1130433.0,0.1140398388149028,1001518.6028889528,10627.167568785224,1063.5138922610977,446.9821722885469,1442.121480978965,0.0106110535921453,1.0,0.0,0,0.100075009204232,0.0420603297534754,0.1357013965993021,2010
2.0,187995.0,0.0905798542386211,170966.44030241042,1814.1340605071969,0.0,0.0,0.0,0.0106110535921453,0.0,0.0,0,0.0,0.0,0.0,2010
4.0,1626330.0,0.0937647746152985,1473837.534099901,15638.969060449415,6035.648415464071,2894.013280872291,7561.705085061856,0.0106110535921453,1.0,0.0,0,0.3859364637230522,0.1850514103382417,0.4835168517715935,2010
5.0,711624.0,0.0905798542386211,647165.2018072954,6867.104639348778,916.692314069256,396.23942800791,1222.4355193235206,0.0106110535921453,0.0,0.0,0,0.1334903663498257,0.0577010907533638,0.1780132360760774,2010
6.0,9280492.0,0.0905798542386211,8439866.38737731,89555.87454700687,36675.52354498851,17548.592038136812,45999.91449054309,0.0106110535921453,0.0,0.0,0,0.4095267198327446,0.1959513223102495,0.5136448582878642,2010
8.0,1227213.0,0.0905798542386211,1116052.225340259,11842.489974718575,3259.353947584679,1509.4004141654325,4178.157857037065,0.0106110535921453,0.0,0.0,0,0.2752253921719815,0.1274563387756891,0.3528107573623978,2010
9.0,814365.0,0.1122878929298243,722921.6700742036,6237.196021015316,1921.3921107055623,880.0968522191159,2471.5081233142114,0.0086277618713174,1.0,1.0,1,0.3080538280714144,0.1411045683434926,0.3962530783042296,2010
10.0,205519.0,0.0905798542386211,186903.1189367328,1983.2390115767896,582.4864656552148,268.8533968784076,746.1570429134049,0.0106110535921453,0.0,0.0,0,0.2937046227182191,0.1355627815452529,0.3762315275959436,2010
11.0,101265.0,0.1740239359191539,83642.46612914688,887.5346906755804,398.6473374289616,190.79000633255933,499.334692446501,0.0106110535921453,1.0,0.0,0,0.4491625416078285,0.2149662524034213,0.5626086480815907,2010
12.0,3997512.0,0.0905798542386211,3635417.9457228607,38575.61465191226,6996.390771160931,3065.597227150795,9245.754451541194,0.0106110535921453,0.0,0.0,0,0.181368225348915,0.0794698219280046,0.2396787331833963,2010
13.0,2489665.0,0.0898727978319705,2265911.840785667,25227.066894186464,3676.5678396801736,1594.9397453249524,4893.101724327496,0.0111332958503096,1.0,1.0,1,0.145739013381989,0.0632233526003969,0.1939623716404027,2010
15.0,303872.0,0.1102654486308094,270365.41759365867,5070.108504264887,344.1784650662748,143.98175775423044,468.0571931036004,0.0187527996346223,1.0,1.0,1,0.0678838460314523,0.0283981610320795,0.0923169973009214,2010
16.0,429231.0,0.0905798542386211,390351.3185853024,4142.03876127325,660.6492130846632,286.7895443964229,878.3134438428453,0.0106110535921453,0.0,0.0,0,0.1594985588405217,0.0692387398876645,0.212048581499236,2010
17.0,3123233.0,0.0974834623202814,2818769.4335270403,25363.128235457807,8205.082911377323,3898.58867622605,10353.478526350158,0.008997943547203,1.0,1.0,1,0.3235043735617189,0.1537108766723735,0.4082098402939087,2010
18.0,1606162.0,0.0888350341234916,1463478.5439221445,17826.80334538638,3848.9095404011646,1728.080258317001,5017.617403873299,0.0121811169828361,1.0,1.0,1,0.2159057608832192,0.0969371919819956,0.2814647868526507,2010
19.0,728224.0,0.062258773367947,682885.6670229002,7246.136410087924,1070.7744358625182,461.4329527822451,1429.925698100463,0.0106110535921453,1.0,0.0,0,0.1477717745379189,0.0636798600892811,0.1973362930498726,2010
20.0,727489.0,0.0752831367273466,672721.3461453593,4827.972801177758,827.3998059278983,361.4090455051567,1096.0494536671235,0.0071767795519521,1.0,1.0,1,0.1713762359485659,0.0748573076917485,0.2270206355345971,2010
21.0,1023533.0,0.1061612593508542,914873.4477328422,9707.771183923982,1438.6371375447495,618.7463511057455,1923.3445183027288,0.0106110535921453,1.0,0.0,0,0.1481943805934698,0.0637372203550065,0.1981242122278054,2010
22.0,1117831.0,0.0828838377778719,1025180.8767329236,5485.891103073971,914.7677011276757,398.2746019187887,1213.8238599123713,0.0053511445907541,1.0,1.0,1,0.1667491541374369,0.0725998009139516,0.2212628426459679,2010
23.0,273399.0,0.0905798542386211,248634.5584310152,2638.2746243708984,293.51729458582355,128.25866917230388,388.8667395036512,0.0106110535921453,0.0,0.0,0,0.1112535032837278,0.0486146013714881,0.1473943371594142,2010
24.0,1352627.0,0.1182520065132316,1192676.1431860272,10272.05709992808,2311.9814395833887,1040.5370794603828,3010.185235198919,0.0086126121987214,1.0,1.0,1,0.2250748235813034,0.1012978285982919,0.2930459990550476,2010
25.0,1417502.0,0.0905798542386211,1289104.875457046,13678.760919370585,3187.935354311237,1433.9345001864588,4149.661291898823,0.0106110535921453,0.0,0.0,0,0.2330573195264185,0.1048292684285354,0.3033652913709794,2010
26.0,2334175.0,0.1117048277958644,2073436.383579588,33146.48352133375,6330.543618123245,2796.89954019182,8329.416175557264,0.0159862553699909,1.0,1.0,1,0.1909868844472982,0.0843799776948187,0.2512910960885574,2010
27.0,1283281.0,0.0905798542386211,1167041.594072808,12383.540898969311,2094.718727695988,913.1176175008284,2777.8971661221067,0.0106110535921453,0.0,0.0,0,0.1691534549597467,0.0737363913076612,0.2243217177369125,2010
28.0,753561.0,0.0869529762632587,688036.6282540825,11415.945743718386,1017.102400221723,426.3439389725325,1381.5973284001373,0.0165920610544917,1.0,1.0,1,0.0890948873667678,0.0373463529473349,0.1210234665980573,2010
